Signal Legend:

Key        Signal Name

0        = ad_in
1        = dac_out_data
2        = fsk_dm:u_fsk_dm|mix
3        = fsk_dm:u_fsk_dm|fir2_mix

Data Table:

Signals-> 0    1     2    3   

sample

814       2604 6     170  6   
815       2592 6     170  6   
816       2592 6     167  6   
817       2592 6     165  15  
818       2592 15    165  15  
819       2582 15    165  15  
820       2582 15    162  15  
821       2582 15    159  15  
822       2582 15    159  15  
823       2572 15    159  15  
824       2572 15    157  15  
825       2572 15    154  15  
826       2572 15    154  15  
827       2562 15    152  31  
828       2562 15    152  23  
829       2562 23    149  23  
830       2562 23    149  23  
831       2553 23    146  23  
832       2553 23    143  23  
833       2553 23    143  23  
834       2553 23    143  23  
835       2541 23    143  23  
836       2541 23    138  23  
837       2541 23    138  23  
838       2541 23    138  29  
839       2532 29    138  29  
840       2532 29    133  29  
841       2532 29    133  29  
842       2532 29    133  29  
843       2520 29    133  29  
844       2520 29    130  29  
845       2520 29    128  29  
846       2520 29    128  29  
847       2510 29    128  29  
848       2510 29    126  34  
849       2510 34    123  34  
850       2510 34    123  34  
851       2497 34    123  34  
852       2497 34    120  34  
853       2497 34    118  34  
854       2497 34    118  34  
855       2487 34    115  34  
856       2487 34    115  34  
857       2487 34    112  34  
858       2487 34    112  37  
859       2475 37    110  37  
860       2475 37    110  37  
861       2475 37    108  37  
862       2475 37    108  37  
863       2466 37    105  37  
864       2466 37    102  37  
865       2466 37    102  37  
866       2466 37    102  37  
867       2455 37    102  37  
868       2455 37    98   38  
869       2455 37    98   38  
870       2455 38    98   38  
871       2442 38    98   38  
872       2442 38    93   38  
873       2442 38    93   38  
874       2442 38    93   38  
875       2430 38    93   38  
876       2430 38    91   38  
877       2430 38    88   38  
878       2430 38    88   38  
879       2418 38    88   37  
880       2418 37    86   37  
881       2418 37    83   37  
882       2418 37    83   37  
883       2407 37    83   37  
884       2407 37    81   37  
885       2407 37    79   37  
886       2407 37    79   37  
887       2397 37    79   37  
888       2397 37    77   37  
889       2397 37    74   34  
890       2397 34    74   34  
891       2384 34    73   34  
892       2384 34    73   34  
893       2384 34    71   34  
894       2384 34    71   34  
895       2372 34    69   34  
