Signal Legend:

Key        Signal Name

0        = ad_in
1        = dac_out_data
2        = fsk_dm:u_fsk_dm|mix
3        = fsk_dm:u_fsk_dm|fir2_mix

Data Table:

Signals-> 0    1     2    3   

sample

75        1650 16338 136  -46 
76        1650 16338 -79  -46 
77        1650 16338 -87  -46 
78        1650 16338 -87  -46 
79        1701 16338 -87  -46 
80        1701 16338 -277 -46 
81        1701 16338 -142 -46 
82        1701 16338 -142 -46 
83        1712 16338 -142 -46 
84        1712 16338 -157 -46 
85        1712 16338 -137 -46 
86        1712 16338 -137 -46 
87        1725 16338 -142 -46 
88        1725 16338 -72  -46 
89        1725 16338 -70  -46 
90        1725 16338 -70  -46 
91        1738 16338 33   -46 
92        1738 16338 33   -46 
93        1738 16338 32   -46 
94        1738 16338 32   -46 
95        1748 16338 110  -46 
96        1748 16338 106  -46 
97        1748 16338 106  -46 
98        1748 16338 106  -46 
99        1762 16338 106  -46 
100       1762 16338 114  -46 
101       1762 16338 114  -46 
102       1762 16338 114  -46 
103       1772 16338 114  -46 
104       1772 16338 55   -46 
105       1772 16338 55   -46 
106       1772 16338 55   -46 
107       1785 16338 55   -46 
108       1785 16338 48   -46 
109       1785 16338 46   -46 
110       1785 16338 46   -46 
111       1797 16338 46   -46 
112       1797 16338 45   -46 
113       1797 16338 43   -46 
114       1797 16338 43   -46 
115       1811 16338 43   -46 
116       1811 16338 41   -46 
117       1811 16338 39   -46 
118       1811 16338 39   -46 
119       1822 16338 39   -46 
120       1822 16338 37   -46 
121       1822 16338 35   -47 
122       1822 16337 35   -47 
123       1834 16337 34   -47 
124       1834 16337 34   -47 
125       1834 16337 33   -47 
126       1834 16337 33   -47 
127       1844 16337 31   -47 
128       1844 16337 29   -47 
129       1844 16337 29   -47 
130       1844 16337 29   -47 
131       1860 16337 29   -47 
132       1860 16337 27   -47 
133       1860 16337 27   -47 
134       1860 16337 27   -47 
135       1872 16337 27   -47 
136       1872 16337 24   -47 
137       1872 16337 24   -47 
138       1872 16337 24   -47 
139       1884 16337 24   -47 
140       1884 16337 23   -47 
141       1884 16337 21   -47 
142       1884 16337 21   -47 
143       1897 16337 21   -47 
144       1897 16337 20   -47 
145       1897 16337 18   -47 
146       1897 16337 18   -47 
147       1910 16337 18   -47 
148       1910 16337 18   -47 
149       1910 16337 16   -47 
150       1910 16337 16   -47 
151       1923 16337 17   -47 
152       1923 16337 15   -47 
153       1923 16337 14   -47 
154       1923 16337 14   -47 
155       1937 16337 13   -47 
156       1937 16337 13   -47 
157       1937 16337 12   -47 
158       1937 16337 12   -47 
159       1948 16337 11   -47 
160       1948 16337 10   -47 
161       1948 16337 10   -47 
162       1948 16337 10   -47 
163       1962 16337 10   -47 
164       1962 16337 8    -47 
165       1962 16337 8    -47 
166       1962 16337 8    -47 
167       1975 16337 8    -47 
168       1975 16337 6    -47 
169       1975 16337 6    -47 
170       1975 16337 6    -47 
171       1989 16337 6    -47 
172       1989 16337 6    -47 
173       1989 16337 5    -47 
174       1989 16337 5    -47 
175       2001 16337 5    -47 
176       2001 16337 4    -47 
177       2001 16337 3    -47 
178       2001 16337 3    -47 
179       2014 16337 3    -47 
180       2014 16337 3    -47 
181       2014 16337 2    -47 
182       2014 16337 2    -47 
183       2027 16337 2    -47 
184       2027 16337 2    -47 
185       2027 16337 1    -47 
186       2027 16337 1    -47 
187       2040 16337 1    -47 
188       2040 16337 1    -47 
189       2040 16337 1    -47 
190       2040 16337 1    -47 
191       2052 16337 0    -47 
192       2052 16337 0    -47 
193       2052 16337 0    -47 
194       2052 16337 0    -47 
195       2066 16337 0    -47 
196       2066 16337 -1   -47 
197       2066 16337 -1   -47 
198       2066 16337 -1   -47 
199       2078 16337 -1   -47 
200       2078 16337 -1   -47 
201       2078 16337 -1   -47 
202       2078 16337 -1   -47 
203       2092 16337 -1   -47 
204       2092 16337 -1   -47 
205       2092 16337 -1   -47 
206       2092 16337 -1   -47 
207       2103 16337 -1   -47 
208       2103 16337 -1   -47 
209       2103 16337 -1   -47 
210       2103 16337 -1   -47 
211       2117 16337 -1   -47 
212       2117 16337 -1   -47 
213       2117 16337 -1   -47 
214       2117 16337 -1   -47 
215       2130 16337 -1   -47 
216       2130 16337 -1   -47 
217       2130 16337 -1   -47 
218       2130 16337 -1   -47 
219       2143 16337 0    -47 
220       2143 16337 0    -47 
221       2143 16337 0    -47 
222       2143 16337 0    -47 
223       2156 16337 0    -47 
224       2156 16337 0    -47 
225       2156 16337 0    -47 
226       2156 16337 0    -47 
227       2169 16337 0    -47 
228       2169 16337 1    -47 
229       2169 16337 1    -47 
230       2169 16337 1    -47 
231       2182 16337 1    -47 
232       2182 16337 2    -47 
233       2182 16337 2    -47 
234       2182 16337 2    -47 
235       2195 16337 2    -47 
236       2195 16337 3    -47 
237       2195 16337 3    -47 
238       2195 16337 3    -47 
239       2207 16337 3    -47 
240       2207 16337 4    -47 
241       2207 16337 4    -47 
242       2207 16337 4    -47 
243       2220 16337 4    -47 
244       2220 16337 5    -47 
245       2220 16337 6    -47 
246       2220 16337 6    -47 
247       2234 16337 6    -47 
248       2234 16337 7    -47 
249       2234 16337 7    -47 
250       2234 16337 7    -47 
251       2246 16337 9    -47 
252       2246 16337 9    -47 
253       2246 16337 9    -47 
254       2246 16337 9    -46 
255       2258 16338 10   -46 
256       2258 16338 11   -46 
257       2258 16338 11   -46 
258       2258 16338 11   -46 
259       2271 16338 11   -46 
260       2271 16338 13   -46 
261       2271 16338 13   -46 
262       2271 16338 13   -46 
263       2282 16338 13   -46 
264       2282 16338 16   -46 
265       2282 16338 16   -46 
266       2282 16338 16   -46 
267       2296 16338 16   -46 
268       2296 16338 17   -46 
269       2296 16338 18   -46 
270       2296 16338 18   -46 
271       2307 16338 18   -46 
272       2307 16338 19   -46 
273       2307 16338 20   -46 
274       2307 16338 20   -46 
275       2321 16338 20   -46 
276       2321 16338 22   -46 
277       2321 16338 23   -46 
278       2321 16338 23   -46 
279       2333 16338 23   -46 
280       2333 16338 25   -46 
281       2333 16338 26   -46 
282       2333 16338 26   -46 
283       2344 16338 27   -46 
284       2344 16338 27   -46 
285       2344 16338 29   -46 
286       2344 16338 29   -46 
287       2356 16338 31   -46 
288       2356 16338 34   -46 
289       2356 16338 32   -46 
290       2356 16338 32   -46 
291       2370 16338 32   -46 
292       2370 16338 35   -46 
293       2370 16338 35   -46 
294       2370 16338 35   -46 
295       2380 16338 35   -46 
296       2380 16338 38   -46 
297       2380 16338 38   -46 
298       2380 16338 38   -46 
299       2392 16338 38   -46 
300       2392 16338 40   -46 
301       2392 16338 41   -46 
302       2392 16338 41   -46 
303       2405 16338 41   -46 
304       2405 16338 44   -46 
